OpenJDK 64-Bit Server VM (25.412-b1) for windows-amd64 JRE (1.8.0_412-b1), built on Apr 23 2024 12:00:37 by "Administrator" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(5646788k free), swap 27297060k(11766592k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
512.115: [GC (GCLocker Initiated GC) 512.116: [DefNew: 2473435K->235006K(2516544K), 0.1837271 secs] 5309814K->3182039K(8108992K), 0.1837754 secs] [Times: user=0.17 sys=0.02, real=0.18 secs] 
531.739: [GC (Allocation Failure) 531.739: [DefNew: 2471934K->231343K(2516544K), 0.1837800 secs] 5418967K->3289838K(8108992K), 0.1838498 secs] [Times: user=0.17 sys=0.01, real=0.18 secs] 
551.359: [GC (Allocation Failure) 551.359: [DefNew: 2468271K->229549K(2516544K), 0.1761658 secs] 5526766K->3396696K(8108992K), 0.1762287 secs] [Times: user=0.14 sys=0.03, real=0.18 secs] 
570.720: [GC (Allocation Failure) 570.720: [DefNew: 2466477K->231670K(2516544K), 0.2081474 secs] 5633624K->3506646K(8108992K), 0.2082033 secs] [Times: user=0.14 sys=0.06, real=0.21 secs] 
590.118: [GC (Allocation Failure) 590.118: [DefNew: 2468598K->234628K(2516544K), 0.1809847 secs] 5743574K->3616986K(8108992K), 0.1810400 secs] [Times: user=0.16 sys=0.03, real=0.18 secs] 
609.521: [GC (Allocation Failure) 609.521: [DefNew: 2471556K->236007K(2516544K), 0.1744574 secs] 5853914K->3727591K(8108992K), 0.1745180 secs] [Times: user=0.17 sys=0.00, real=0.17 secs] 
628.690: [GC (Allocation Failure) 628.690: [DefNew: 2472935K->233642K(2516544K), 0.1848597 secs] 5964519K->3836018K(8108992K), 0.1849151 secs] [Times: user=0.17 sys=0.02, real=0.19 secs] 
647.807: [GC (Allocation Failure) 647.807: [DefNew: 2470570K->229338K(2516544K), 0.2341229 secs] 6072946K->3941939K(8108992K), 0.2341820 secs] [Times: user=0.16 sys=0.08, real=0.23 secs] 
667.619: [GC (Allocation Failure) 667.619: [DefNew: 2466266K->232295K(2516544K), 0.1816111 secs] 6178867K->4053169K(8108992K), 0.1816680 secs] [Times: user=0.16 sys=0.00, real=0.18 secs] 
687.555: [GC (Allocation Failure) 687.555: [DefNew: 2469223K->236330K(2516544K), 0.2608400 secs] 6290097K->4163204K(8108992K), 0.2609008 secs] [Times: user=0.19 sys=0.02, real=0.26 secs] 
707.486: [GC (Allocation Failure) 707.486: [DefNew: 2473258K->237132K(2516544K), 0.2266290 secs] 6400132K->4274641K(8108992K), 0.2266897 secs] [Times: user=0.17 sys=0.05, real=0.23 secs] 
726.718: [GC (Allocation Failure) 726.718: [DefNew: 2474060K->231992K(2516544K), 0.1823320 secs] 6511569K->4380484K(8108992K), 0.1823925 secs] [Times: user=0.16 sys=0.01, real=0.18 secs] 
746.755: [GC (Allocation Failure) 746.755: [DefNew: 2468920K->227230K(2516544K), 0.1762927 secs] 6617412K->4486437K(8108992K), 0.1763444 secs] [Times: user=0.16 sys=0.02, real=0.18 secs] 
766.735: [GC (Allocation Failure) 766.735: [DefNew: 2464158K->226705K(2516544K), 0.2153204 secs] 6723365K->4591998K(8108992K), 0.2153713 secs] [Times: user=0.17 sys=0.05, real=0.22 secs] 
786.896: [GC (Allocation Failure) 786.896: [DefNew: 2463633K->228596K(2516544K), 0.1991765 secs] 6828926K->4700574K(8108992K), 0.1992372 secs] [Times: user=0.19 sys=0.01, real=0.20 secs] 
807.003: [GC (Allocation Failure) 807.003: [DefNew: 2465524K->228295K(2516544K), 0.2291141 secs] 6937502K->4805970K(8108992K), 0.2291789 secs] [Times: user=0.20 sys=0.02, real=0.23 secs] 
826.167: [GC (Allocation Failure) 826.167: [DefNew: 2465223K->221407K(2516544K), 0.1776067 secs] 7042898K->4907790K(8108992K), 0.1776635 secs] [Times: user=0.16 sys=0.00, real=0.18 secs] 
845.199: [GC (Allocation Failure) 845.199: [DefNew: 2458335K->220146K(2516544K), 0.1753462 secs] 7144718K->5011518K(8108992K), 0.1753997 secs] [Times: user=0.16 sys=0.02, real=0.17 secs] 
864.825: [GC (Allocation Failure) 864.825: [DefNew: 2457074K->220078K(2516544K), 0.1703393 secs] 7248446K->5113287K(8108992K), 0.1703979 secs] [Times: user=0.16 sys=0.02, real=0.17 secs] 
884.417: [GC (Allocation Failure) 884.417: [DefNew: 2457006K->221963K(2516544K), 0.1796790 secs] 7350215K->5218944K(8108992K), 0.1797484 secs] [Times: user=0.14 sys=0.02, real=0.18 secs] 
904.078: [GC (Allocation Failure) 904.078: [DefNew: 2458891K->228217K(2516544K), 0.1944624 secs] 7455872K->5327480K(8108992K), 0.1945488 secs] [Times: user=0.17 sys=0.01, real=0.20 secs] 
923.424: [GC (Allocation Failure) 923.424: [DefNew: 2465145K->228106K(2516544K), 0.2068069 secs] 7564408K->5431907K(8108992K), 0.2068625 secs] [Times: user=0.14 sys=0.06, real=0.21 secs] 
944.561: [GC (Allocation Failure) 944.561: [DefNew: 2465034K->225008K(2516544K), 0.1677824 secs] 7668835K->5536887K(8108992K), 0.1678409 secs] [Times: user=0.14 sys=0.01, real=0.17 secs] 
966.554: [GC (Allocation Failure) 966.554: [DefNew: 2461936K->226107K(2516544K), 0.1683308 secs] 7773815K->5643411K(8108992K), 0.1683908 secs] [Times: user=0.16 sys=0.02, real=0.17 secs] 
988.597: [GC (Allocation Failure) 988.598: [DefNew: 2463035K->225039K(2516544K), 0.1758109 secs] 7880339K->5748711K(8108992K), 0.1758748 secs] [Times: user=0.14 sys=0.03, real=0.18 secs] 
1010.598: [GC (Allocation Failure) 1010.599: [DefNew: 2461967K->2461967K(2516544K), 0.0000119 secs]1010.599: [Tenured: 5523672K->866540K(5592448K), 12.0046667 secs] 7985639K->866540K(8108992K), [Metaspace: 71521K->71521K(1114112K)], 12.0047494 secs] [Times: user=1.53 sys=0.77, real=12.00 secs] 
1044.915: [GC (Allocation Failure) 1044.915: [DefNew: 2236928K->116881K(2516544K), 0.0880410 secs] 3103468K->983421K(8108992K), 0.0881030 secs] [Times: user=0.09 sys=0.00, real=0.09 secs] 
