OpenJDK 64-Bit Server VM (25.412-b1) for windows-amd64 JRE (1.8.0_412-b1), built on Apr 23 2024 12:00:37 by "Administrator" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(8761460k free), swap 28358524k(12358588k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
437.731: [GC (Allocation Failure) [PSYoungGen: 1849980K->849770K(1864192K)] 2791558K->1924892K(7456768K), 0.2369080 secs] [Times: user=1.81 sys=0.06, real=0.24 secs] 
447.794: [GC (Allocation Failure) [PSYoungGen: 1782122K->787072K(1864192K)] 2857244K->1995308K(7456768K), 0.2172088 secs] [Times: user=1.73 sys=0.01, real=0.22 secs] 
457.383: [GC (Allocation Failure) [PSYoungGen: 1719424K->694527K(1864192K)] 2927660K->2065729K(7456768K), 0.2107105 secs] [Times: user=1.56 sys=0.05, real=0.21 secs] 
467.174: [GC (Allocation Failure) [PSYoungGen: 1626879K->603168K(1864192K)] 2998081K->2140366K(7456768K), 0.1822400 secs] [Times: user=1.19 sys=0.19, real=0.18 secs] 
476.448: [GC (Allocation Failure) [PSYoungGen: 1535520K->510559K(1864192K)] 3072718K->2207481K(7456768K), 0.1544972 secs] [Times: user=1.06 sys=0.19, real=0.15 secs] 
487.263: [GC (Allocation Failure) [PSYoungGen: 1442911K->433055K(1864192K)] 3139833K->2268715K(7456768K), 0.1602717 secs] [Times: user=1.13 sys=0.14, real=0.16 secs] 
497.229: [GC (Allocation Failure) [PSYoungGen: 1365407K->378432K(1864192K)] 3201067K->2337695K(7456768K), 0.1263113 secs] [Times: user=0.89 sys=0.11, real=0.13 secs] 
506.943: [GC (Allocation Failure) [PSYoungGen: 1310784K->317791K(1864192K)] 3270047K->2406503K(7456768K), 0.1125980 secs] [Times: user=0.78 sys=0.09, real=0.11 secs] 
516.552: [GC (Allocation Failure) [PSYoungGen: 1250143K->254751K(1864192K)] 3338855K->2475002K(7456768K), 0.0940514 secs] [Times: user=0.53 sys=0.22, real=0.09 secs] 
525.819: [GC (Allocation Failure) [PSYoungGen: 1187103K->197567K(1864192K)] 3407354K->2541941K(7456768K), 0.0827407 secs] [Times: user=0.56 sys=0.06, real=0.08 secs] 
