OpenJDK 64-Bit Server VM (25.345-b01) for windows-amd64 JRE (1.8.0_345-b01), built on Aug  3 2022 09:57:30 by "build" with MS VC++ 10.0 (VS2010)
589.004: [GC (Allocation Failure) [PSYoungGen: 993935K->70975K(1864192K)] 4105845K->3240128K(7456768K), 0.0440402 secs] [Times: user=0.36 sys=0.02, real=0.04 secs] 
597.632: [GC (Allocation Failure) [PSYoungGen: 1003327K->126655K(1951744K)] 4172480K->3295809K(7544320K), 0.0455649 secs] [Times: user=0.38 sys=0.00, real=0.04 secs] 
607.065: [GC (Allocation Failure) [PSYoungGen: 1183423K->185310K(1901056K)] 4352577K->3354463K(7493632K), 0.0479620 secs] [Times: user=0.38 sys=0.00, real=0.05 secs] 
616.025: [GC (Allocation Failure) [PSYoungGen: 1242078K->242367K(2055680K)] 4411231K->3411520K(7648256K), 0.0675268 secs] [Times: user=0.50 sys=0.00, real=0.07 secs] 
627.499: [GC (Allocation Failure) [PSYoungGen: 1512127K->313727K(2010112K)] 4681280K->3482889K(7602688K), 0.0752080 secs] [Times: user=0.63 sys=0.00, real=0.08 secs] 
638.756: [GC (Allocation Failure) [PSYoungGen: 1583487K->383806K(2054144K)] 4752649K->3552968K(7646720K), 0.0953396 secs] [Times: user=0.75 sys=0.00, real=0.10 secs] 
649.904: [GC (Allocation Failure) [PSYoungGen: 1713470K->453055K(1782784K)] 4882632K->3622216K(7375360K), 0.1048625 secs] [Times: user=0.75 sys=0.00, real=0.10 secs] 
660.968: [GC (Allocation Failure) [PSYoungGen: 1782719K->518719K(1943040K)] 4951880K->3687880K(7535616K), 0.1178005 secs] [Times: user=0.88 sys=0.00, real=0.12 secs] 
671.366: [GC (Allocation Failure) [PSYoungGen: 1698879K->583999K(1764352K)] 4868040K->3753160K(7356928K), 0.1484317 secs] [Times: user=1.23 sys=0.00, real=0.15 secs] 
681.888: [GC (Allocation Failure) [PSYoungGen: 1764159K->649887K(1798144K)] 4933320K->3819048K(7390720K), 0.1468899 secs] [Times: user=1.11 sys=0.00, real=0.15 secs] 
690.145: [GC (Allocation Failure) [PSYoungGen: 1582239K->585535K(1864192K)] 4751400K->3874510K(7456768K), 0.1677085 secs] [Times: user=1.33 sys=0.05, real=0.17 secs] 
697.735: [GC (Allocation Failure) [PSYoungGen: 1517887K->517375K(1864192K)] 4806862K->3928049K(7456768K), 0.1453097 secs] [Times: user=1.00 sys=0.13, real=0.14 secs] 
705.449: [GC (Allocation Failure) [PSYoungGen: 1449727K->421023K(1864192K)] 4860401K->3982081K(7456768K), 0.1429233 secs] [Times: user=1.06 sys=0.06, real=0.14 secs] 
714.627: [GC (Allocation Failure) [PSYoungGen: 1353375K->479935K(1903104K)] 4914433K->4040993K(7495680K), 0.1120014 secs] [Times: user=0.88 sys=0.00, real=0.11 secs] 
723.302: [GC (Allocation Failure) [PSYoungGen: 1470655K->531807K(1883648K)] 5031713K->4092865K(7476224K), 0.1205408 secs] [Times: user=1.00 sys=0.00, real=0.12 secs] 
731.398: [GC (Allocation Failure) [PSYoungGen: 1522527K->580703K(1875968K)] 5083585K->4141761K(7468544K), 0.1450235 secs] [Times: user=1.25 sys=0.00, real=0.15 secs] 
739.539: [GC (Allocation Failure) [PSYoungGen: 1564255K->628895K(1612800K)] 5125313K->4189953K(7205376K), 0.1411526 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
748.004: [GC (GCLocker Initiated GC) [PSYoungGen: 1612447K->547998K(1875456K)] 5173505K->4251764K(7468032K), 0.1791987 secs] [Times: user=1.33 sys=0.16, real=0.18 secs] 
756.905: [GC (Allocation Failure) [PSYoungGen: 1491614K->603999K(1864192K)] 5195440K->4307824K(7456768K), 0.1387764 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
764.372: [GC (Allocation Failure) [PSYoungGen: 1547615K->648415K(1860096K)] 5251440K->4352240K(7452672K), 0.1609513 secs] [Times: user=1.25 sys=0.00, real=0.16 secs] 
771.604: [GC (Allocation Failure) [PSYoungGen: 1580767K->562047K(1864192K)] 5284592K->4403085K(7456768K), 0.1674220 secs] [Times: user=1.06 sys=0.20, real=0.17 secs] 
780.518: [GC (Allocation Failure) [PSYoungGen: 1494399K->620415K(1863680K)] 5335437K->4461453K(7456256K), 0.1402920 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
788.589: [GC (Allocation Failure) [PSYoungGen: 1556863K->670047K(1606656K)] 5397901K->4511085K(7199232K), 0.1543179 secs] [Times: user=1.13 sys=0.00, real=0.15 secs] 
795.957: [GC (Allocation Failure) [PSYoungGen: 1606495K->616831K(1864192K)] 5447533K->4559801K(7456768K), 0.1732691 secs] [Times: user=1.16 sys=0.22, real=0.17 secs] 
803.996: [GC (Allocation Failure) [PSYoungGen: 1549183K->562751K(1864192K)] 5492153K->4615461K(7456768K), 0.1658300 secs] [Times: user=1.17 sys=0.06, real=0.17 secs] 
813.448: [GC (Allocation Failure) [PSYoungGen: 1495103K->625983K(1892864K)] 5547813K->4678693K(7485440K), 0.1529297 secs] [Times: user=1.13 sys=0.00, real=0.15 secs] 
822.219: [GC (Allocation Failure) [PSYoungGen: 1611071K->678975K(1664512K)] 5663781K->4731685K(7257088K), 0.1550031 secs] [Times: user=1.25 sys=0.00, real=0.15 secs] 
831.007: [GC (Allocation Failure) [PSYoungGen: 1664063K->733247K(1848832K)] 5716773K->4785957K(7441408K), 0.1732986 secs] [Times: user=1.38 sys=0.00, real=0.17 secs] 
839.264: [GC (Allocation Failure) [PSYoungGen: 1665599K->682879K(1864192K)] 5718309K->4842555K(7456768K), 0.1896248 secs] [Times: user=1.44 sys=0.06, real=0.19 secs] 
848.096: [GC (Allocation Failure) [PSYoungGen: 1615231K->639775K(1865728K)] 5774907K->4906946K(7458304K), 0.1815706 secs] [Times: user=1.42 sys=0.08, real=0.18 secs] 
857.396: [GC (Allocation Failure) [PSYoungGen: 1573663K->699471K(1864192K)] 5840834K->4966650K(7456768K), 0.1668186 secs] [Times: user=1.36 sys=0.00, real=0.17 secs] 
865.656: [GC (Allocation Failure) [PSYoungGen: 1633359K->650399K(1875968K)] 5900538K->5023080K(7468544K), 0.1797862 secs] [Times: user=1.33 sys=0.03, real=0.18 secs] 
874.324: [GC (Allocation Failure) [PSYoungGen: 1594527K->704031K(1864192K)] 5967208K->5076712K(7456768K), 0.1718229 secs] [Times: user=1.38 sys=0.00, real=0.17 secs] 
883.164: [GC (Allocation Failure) [PSYoungGen: 1648159K->762207K(1856512K)] 6020840K->5134888K(7449088K), 0.1814569 secs] [Times: user=1.47 sys=0.00, real=0.18 secs] 
892.955: [GC (Allocation Failure) [PSYoungGen: 1694559K->717663K(1864192K)] 6067240K->5197897K(7456768K), 0.2021696 secs] [Times: user=1.55 sys=0.08, real=0.20 secs] 
902.276: [GC (Allocation Failure) [PSYoungGen: 1650015K->678719K(1865728K)] 6130249K->5257322K(7458304K), 0.1932307 secs] [Times: user=1.42 sys=0.08, real=0.19 secs] 
911.814: [GC (Allocation Failure) [PSYoungGen: 1612607K->735071K(1864192K)] 6191210K->5313674K(7456768K), 0.1687210 secs] [Times: user=1.36 sys=0.00, real=0.17 secs] 
921.268: [GC (Allocation Failure) [PSYoungGen: 1668959K->678111K(1880064K)] 6247562K->5375004K(7472640K), 0.2076038 secs] [Times: user=1.53 sys=0.09, real=0.21 secs] 
931.696: [GC (Allocation Failure) [PSYoungGen: 1626335K->742527K(1864192K)] 6323228K->5439421K(7456768K), 0.1717628 secs] [Times: user=1.38 sys=0.00, real=0.17 secs] 
941.372: [GC (Allocation Failure) [PSYoungGen: 1690751K->798239K(1854464K)] 6387645K->5495132K(7447040K), 0.1902126 secs] [Times: user=1.50 sys=0.00, real=0.19 secs] 
950.752: [GC (Allocation Failure) [PSYoungGen: 1730591K->743327K(1864192K)] 6427484K->5554628K(7456768K), 0.2069952 secs] [Times: user=1.53 sys=0.09, real=0.21 secs] 
960.480: [GC (Allocation Failure) [PSYoungGen: 1675679K->692255K(1875968K)] 6486980K->5618646K(7468544K), 0.1960104 secs] [Times: user=1.45 sys=0.05, real=0.20 secs] 
971.011: [GC (Allocation Failure) [PSYoungGen: 1636383K->756527K(1864192K)] 6562774K->5682918K(7456768K), 0.1833700 secs] [Times: user=1.38 sys=0.00, real=0.18 secs] 
981.118: [GC (Allocation Failure) [PSYoungGen: 1700655K->815135K(1854976K)] 6627046K->5741526K(7447552K), 0.1909256 secs] [Times: user=1.61 sys=0.00, real=0.19 secs] 
991.430: [GC (Allocation Failure) [PSYoungGen: 1747487K->765183K(1864192K)] 6673878K->5808805K(7456768K), 0.2171124 secs] [Times: user=1.56 sys=0.19, real=0.22 secs] 
1001.385: [GC (GCLocker Initiated GC) [PSYoungGen: 1697535K->715114K(1874432K)] 6741157K->5875831K(7467008K), 0.2088377 secs] [Times: user=1.56 sys=0.06, real=0.21 secs] 
